Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,52.779999,53.785000,52.310001,53.730000,53.270142,5134073
2022-05-03,54.680000,55.770000,54.590000,55.639999,55.163795,5157360
2022-05-04,56.259998,57.080002,55.490002,56.970001,56.482414,4293698
2022-05-05,57.400002,57.560001,55.860001,56.939999,56.452667,5112479
2022-05-06,57.340000,57.720001,56.419998,57.700001,57.206165,4531795
2022-05-09,55.959999,56.000000,54.200001,54.349998,53.884834,6491645
2022-05-10,54.959999,55.750000,54.049999,54.939999,54.469784,5537659
2022-05-11,56.360001,57.330002,55.709999,55.869999,55.391827,4008574
2022-05-12,55.099998,55.279999,54.380001,55.220001,54.747391,4931857
2022-05-13,55.529999,56.820000,55.529999,56.700001,56.214722,3838356
2022-05-16,56.849998,58.230000,56.730000,58.060001,57.563084,5929102
2022-05-17,58.630001,58.860001,58.200001,58.540001,58.038975,5860757
2022-05-18,59.450001,59.719101,58.139999,58.419998,57.919998,7162156
2022-05-19,57.720001,59.209999,57.639999,58.549999,58.549999,6387759
2022-05-20,58.950001,59.290001,57.419998,58.340000,58.340000,4415066
2022-05-23,59.509998,60.180000,59.360001,60.009998,60.009998,7815063
2022-05-24,59.119999,60.080002,58.869999,59.939999,59.939999,5028530
2022-05-25,59.830002,60.658401,59.389999,60.360001,60.360001,5567944
2022-05-26,60.459999,60.740002,59.764999,60.119999,60.119999,6775039
2022-05-27,59.700001,60.264999,59.450001,60.020000,60.020000,3907640
2022-05-31,60.740002,60.849998,59.145000,59.220001,59.220001,5117038
